domain,report_type,variable,data_policy_licence,quality_flag,year,month,count
land,2,44,0,0,1761,01,     0
land,2,44,0,0,1761,02,     0
land,2,44,0,0,1761,03,     0
land,2,44,0,0,1761,04,     0
land,2,44,0,0,1761,05,     0
land,2,44,0,0,1761,06,     0
land,2,44,0,0,1761,07,     0
land,2,44,0,0,1761,08,     0
land,2,44,0,0,1761,09,     0
land,2,44,0,0,1761,10,     0
land,2,44,0,0,1761,11,     0
land,2,44,0,0,1761,12,     0
land,2,44,0,0,1762,01,     0
land,2,44,0,0,1762,02,     0
land,2,44,0,0,1762,03,     0
land,2,44,0,0,1762,04,     0
land,2,44,0,0,1762,05,     0
land,2,44,0,0,1762,06,     0
land,2,44,0,0,1762,07,     0
land,2,44,0,0,1762,08,     0
land,2,44,0,0,1762,09,     0
land,2,44,0,0,1762,10,     0
land,2,44,0,0,1762,11,     0
land,2,44,0,0,1762,12,     0
land,2,44,0,0,1763,01,     0
land,2,44,0,0,1763,02,     0
land,2,44,0,0,1763,03,     0
land,2,44,0,0,1763,04,     0
land,2,44,0,0,1763,05,     0
land,2,44,0,0,1763,06,     0
land,2,44,0,0,1763,07,     0
land,2,44,0,0,1763,08,     0
land,2,44,0,0,1763,09,     0
land,2,44,0,0,1763,10,     0
land,2,44,0,0,1763,11,     0
land,2,44,0,0,1763,12,     0
land,2,44,0,0,1764,01,     0
land,2,44,0,0,1764,02,     0
land,2,44,0,0,1764,03,     0
land,2,44,0,0,1764,04,     0
land,2,44,0,0,1764,05,     0
land,2,44,0,0,1764,06,     0
land,2,44,0,0,1764,07,     0
land,2,44,0,0,1764,08,     0
land,2,44,0,0,1764,09,     0
land,2,44,0,0,1764,10,     0
land,2,44,0,0,1764,11,     0
land,2,44,0,0,1764,12,     0
land,2,44,0,0,1765,01,     0
land,2,44,0,0,1765,02,     0
land,2,44,0,0,1765,03,     0
land,2,44,0,0,1765,04,     0
land,2,44,0,0,1765,05,     0
land,2,44,0,0,1765,06,     0
land,2,44,0,0,1765,07,     0
land,2,44,0,0,1765,08,     0
land,2,44,0,0,1765,09,     0
land,2,44,0,0,1765,10,     0
land,2,44,0,0,1765,11,     0
land,2,44,0,0,1765,12,     0
land,2,44,0,0,1766,01,     0
land,2,44,0,0,1766,02,     0
land,2,44,0,0,1766,03,     0
land,2,44,0,0,1766,04,     0
land,2,44,0,0,1766,05,     0
land,2,44,0,0,1766,06,     0
land,2,44,0,0,1766,07,     0
land,2,44,0,0,1766,08,     0
land,2,44,0,0,1766,09,     0
land,2,44,0,0,1766,10,     0
land,2,44,0,0,1766,11,     0
land,2,44,0,0,1766,12,     0
land,2,44,0,0,1767,01,     0
land,2,44,0,0,1767,02,     0
land,2,44,0,0,1767,03,     0
land,2,44,0,0,1767,04,     0
land,2,44,0,0,1767,05,     0
